Income per operation: 0.9771609799028388, income: 9.4e-323, operation count: 32094, sucsessful operations percentage: 21.091, self_length: 5, after_length: 20, quantity: 12, min_profit: 5e-05, probability_edge: 0.98. 
Income per operation: 0.9771184582894941, income: 9e-323, operation count: 32036, sucsessful operations percentage: 19.884, self_length: 5, after_length: 20, quantity: 12, min_profit: 0.0001, probability_edge: 0.9. 
Income per operation: 0.9771184582894941, income: 9e-323, operation count: 32036, sucsessful operations percentage: 19.884, self_length: 5, after_length: 20, quantity: 12, min_profit: 0.0001, probability_edge: 0.98. 
Income per operation: 0.9769300504326478, income: 9.4e-323, operation count: 31769, sucsessful operations percentage: 11.421, self_length: 5, after_length: 40, quantity: 3, min_profit: 0, probability_edge: 0.9. 
Income per operation: 0.9769350734936374, income: 9.4e-323, operation count: 31776, sucsessful operations percentage: 11.416, self_length: 5, after_length: 40, quantity: 3, min_profit: 0, probability_edge: 0.98. 
Income per operation: 0.9769199977446016, income: 9.4e-323, operation count: 31755, sucsessful operations percentage: 11.265, self_length: 5, after_length: 40, quantity: 3, min_profit: 5e-05, probability_edge: 0.9. 
Income per operation: 0.9769278970224462, income: 9.4e-323, operation count: 31766, sucsessful operations percentage: 11.253, self_length: 5, after_length: 40, quantity: 3, min_profit: 5e-05, probability_edge: 0.98. 
Income per operation: 0.9769946241298806, income: 8.4e-323, operation count: 31864, sucsessful operations percentage: 11.055, self_length: 5, after_length: 40, quantity: 3, min_profit: 0.0001, probability_edge: 0.9. 
Income per operation: 0.9769832005848672, income: 8.4e-323, operation count: 31848, sucsessful operations percentage: 11.018, self_length: 5, after_length: 40, quantity: 3, min_profit: 0.0001, probability_edge: 0.98. 
Income per operation: 0.976944885119062, income: 9e-323, operation count: 31792, sucsessful operations percentage: 13.205, self_length: 5, after_length: 40, quantity: 4, min_profit: 0, probability_edge: 0.9. 
Income per operation: 0.9769880409513557, income: 9.4e-323, operation count: 31850, sucsessful operations percentage: 13.28, self_length: 5, after_length: 40, quantity: 4, min_profit: 0, probability_edge: 0.98. 
Income per operation: 0.9769949494724893, income: 9e-323, operation count: 31862, sucsessful operations percentage: 13.057, self_length: 5, after_length: 40, quantity: 4, min_profit: 5e-05, probability_edge: 0.9. 
Income per operation: 0.9770334222378004, income: 9e-323, operation count: 31916, sucsessful operations percentage: 13.106, self_length: 5, after_length: 40, quantity: 4, min_profit: 5e-05, probability_edge: 0.98. 
